# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000    5.453588E-03  2.761038E-01  3.121839E+00
     0.0500    3.283152E-03  2.755105E-01  3.129676E+00
     0.1000    1.118517E-03  2.749119E-01  3.137524E+00
     0.1500   -5.284404E-03  2.731279E-01  3.160942E+00
     0.2000   -1.162811E-02  2.712984E-01  3.184467E+00
     0.2500   -2.191393E-02  2.682774E-01  3.223368E+00
     0.3000   -3.199729E-02  2.651366E-01  3.262570E+00
     0.3500   -4.547255E-02  2.608004E-01  3.316846E+00
     0.4000   -5.845062E-02  2.562488E-01  3.371719E+00
     0.4500   -7.405941E-02  2.505801E-01  3.441626E+00
     0.5000   -8.867412E-02  2.446112E-01  3.512553E+00
     0.5500   -1.045349E-01  2.373818E-01  3.597599E+00
     0.6000   -1.186308E-01  2.297495E-01  3.684174E+00
     0.6500   -1.325751E-01  2.209656E-01  3.785070E+00
     0.7000   -1.437906E-01  2.117210E-01  3.888198E+00
     0.7500   -1.531825E-01  2.013846E-01  4.005901E+00
     0.8000   -1.588277E-01  1.905753E-01  4.126845E+00
     0.8500   -1.610560E-01  1.787863E-01  4.263270E+00
     0.9000   -1.587469E-01  1.665763E-01  4.404575E+00
     0.9500   -1.518849E-01  1.535850E-01  4.563460E+00
     1.0000   -1.403011E-01  1.403235E-01  4.730248E+00
     1.0500   -1.238642E-01  1.265602E-01  4.919165E+00
