 Null title                                     Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   2   6.000   3.9242    2.8635   -0.27147 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -3.9242   -0.0000   -0.0000  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1498E+01  1.8066E-05 -1.1609E+01  1.048E+00  6.0179E+00  2.0419E+00
  0.100  1.1497E+01  3.9281E-02 -1.2377E+01  1.048E+00  6.0248E+00  2.0442E+00
  0.200  1.1495E+01  7.8199E-02 -1.3111E+01  1.049E+00  6.0452E+00  2.0512E+00
  0.300  1.1491E+01  1.1641E-01 -1.3812E+01  1.050E+00  6.0784E+00  2.0628E+00
  0.400  1.1486E+01  1.5360E-01 -1.4480E+01  1.051E+00  6.1235E+00  2.0789E+00
  0.500  1.1479E+01  1.8952E-01 -1.5116E+01  1.053E+00  6.1791E+00  2.0994E+00
  0.600  1.1470E+01  2.2391E-01 -1.5721E+01  1.054E+00  6.2433E+00  2.1243E+00
  0.700  1.1460E+01  2.5658E-01 -1.6294E+01  1.056E+00  6.3142E+00  2.1534E+00
  0.800  1.1447E+01  2.8738E-01 -1.6839E+01  1.058E+00  6.3895E+00  2.1866E+00
  0.900  1.1433E+01  3.1617E-01 -1.7353E+01  1.060E+00  6.4668E+00  2.2236E+00
  1.000  1.1417E+01  3.4280E-01 -1.7840E+01  1.062E+00  6.5434E+00  2.2645E+00
  1.100  1.1399E+01  3.6715E-01 -1.8298E+01  1.064E+00  6.6170E+00  2.3091E+00
  1.200  1.1379E+01  3.8905E-01 -1.8729E+01  1.066E+00  6.6853E+00  2.3572E+00
  1.300  1.1357E+01  4.0834E-01 -1.9132E+01  1.067E+00  6.7461E+00  2.4088E+00
  1.400  1.1333E+01  4.2483E-01 -1.9508E+01  1.069E+00  6.7979E+00  2.4638E+00
  1.500  1.1307E+01  4.3830E-01 -1.9856E+01  1.071E+00  6.8398E+00  2.5221E+00
  1.600  1.1279E+01  4.4854E-01 -2.0175E+01  1.073E+00  6.8714E+00  2.5836E+00
  1.700  1.1249E+01  4.5536E-01 -2.0465E+01  1.075E+00  6.8933E+00  2.6484E+00
  1.800  1.1218E+01  4.5854E-01 -2.0724E+01  1.076E+00  6.9070E+00  2.7165E+00
  1.900  1.1184E+01  4.5807E-01 -2.0950E+01  1.078E+00  6.9150E+00  2.7878E+00
  2.000  1.1147E+01  4.5398E-01 -2.1143E+01  1.080E+00  6.9211E+00  2.8625E+00
  2.200  1.1069E+01  4.3610E-01 -2.1414E+01  1.083E+00  6.9477E+00  3.0225E+00
  2.400  1.0957E+01  3.9476E-01 -2.1447E+01  1.064E+00  7.0514E+00  3.2089E+00
  2.600  1.0856E+01  4.1339E-01 -2.1551E+01  1.180E+00  5.1045E+00  3.3851E+00
  2.800  1.0848E+01  4.2115E-01 -2.1814E+01  1.218E+00  4.5828E+00  3.5185E+00
  3.000  1.0839E+01  4.3701E-01 -2.2025E+01  1.240E+00  4.3379E+00  3.6554E+00
  3.200  1.0816E+01  4.5438E-01 -2.2193E+01  1.246E+00  4.2373E+00  3.8011E+00
  3.400  1.0786E+01  4.6775E-01 -2.2358E+01  1.245E+00  4.2184E+00  3.9525E+00
  3.600  1.0749E+01  4.7338E-01 -2.2530E+01  1.240E+00  4.2517E+00  4.1089E+00
  3.800  1.0705E+01  4.6027E-01 -2.2704E+01  1.229E+00  4.3216E+00  4.2700E+00
  4.000  1.0654E+01  4.3656E-01 -2.2885E+01  1.218E+00  4.4189E+00  4.4351E+00
  4.200  1.0597E+01  3.9677E-01 -2.3068E+01  1.205E+00  4.5375E+00  4.6038E+00
  4.400  1.0534E+01  3.5042E-01 -2.3258E+01  1.192E+00  4.6735E+00  4.7758E+00
  4.600  1.0466E+01  2.9873E-01 -2.3464E+01  1.179E+00  4.8240E+00  4.9506E+00
  4.800  1.0394E+01  2.4712E-01 -2.3701E+01  1.165E+00  4.9869E+00  5.1279E+00
  5.000  1.0318E+01  1.9831E-01 -2.3996E+01  1.151E+00  5.1605E+00  5.3074E+00
  5.200  1.0240E+01  1.6325E-01 -2.4390E+01  1.139E+00  5.3436E+00  5.4889E+00
  5.400  1.0160E+01  1.4732E-01 -2.4887E+01  1.126E+00  5.5353E+00  5.6721E+00
  5.600  1.0080E+01  1.5906E-01 -2.5370E+01  1.115E+00  5.7346E+00  5.8568E+00
  5.800  9.9996E+00  1.9023E-01 -2.5736E+01  1.103E+00  5.9409E+00  6.0429E+00
  6.000  9.9191E+00  2.3006E-01 -2.5989E+01  1.092E+00  6.1538E+00  6.2302E+00
  6.500  9.7172E+00  3.2487E-01 -2.6341E+01  1.065E+00  6.7112E+00  6.7029E+00
  7.000  9.5137E+00  3.8489E-01 -2.6521E+01  1.039E+00  7.3005E+00  7.1806E+00
  7.500  9.3079E+00  4.0931E-01 -2.6626E+01  1.016E+00  7.9175E+00  7.6623E+00
  8.000  9.1018E+00  4.0708E-01 -2.6683E+01  9.960E-01  8.5594E+00  8.1470E+00
  8.500  8.8989E+00  3.8803E-01 -2.6689E+01  9.811E-01  9.2236E+00  8.6340E+00
  9.000  8.7003E+00  3.6195E-01 -2.6642E+01  9.691E-01  9.9084E+00  9.1230E+00
  9.500  8.5061E+00  3.3914E-01 -2.6546E+01  9.590E-01  1.0612E+01  9.6135E+00
 10.000  8.3168E+00  3.2740E-01 -2.6420E+01  9.508E-01  1.1334E+01  1.0105E+01
 11.000  7.9550E+00  3.4562E-01 -2.6173E+01  9.400E-01  1.2825E+01  1.1092E+01
 12.000  7.6146E+00  3.9937E-01 -2.6037E+01  9.333E-01  1.4376E+01  1.2081E+01
 13.000  7.2941E+00  4.5439E-01 -2.6019E+01  9.289E-01  1.5981E+01  1.3072E+01
 14.000  6.9930E+00  4.9604E-01 -2.6066E+01  9.269E-01  1.7634E+01  1.4065E+01
 15.000  6.7091E+00  5.1693E-01 -2.6151E+01  9.257E-01  1.9332E+01  1.5060E+01
 16.000  6.4423E+00  5.2024E-01 -2.6254E+01  9.250E-01  2.1073E+01  1.6055E+01
 17.000  6.1898E+00  5.0969E-01 -2.6369E+01  9.236E-01  2.2851E+01  1.7050E+01
 18.000  5.9503E+00  4.9184E-01 -2.6491E+01  9.221E-01  2.4666E+01  1.8047E+01
 19.000  5.7210E+00  4.6848E-01 -2.6619E+01  9.213E-01  2.6516E+01  1.9044E+01
