 Null title                                     Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    5      icalc       2
 -----------------------------------------------------------------------
   2  24.000   4.8061    2.8635   -0.27147 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.9621    1.9621   -3.9242  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1498E+01  2.2578E-05 -8.3645E+00  1.048E+00  6.0179E+00  2.0419E+00
  0.100  1.1497E+01  4.9086E-02 -9.3040E+00  1.048E+00  6.0248E+00  2.0442E+00
  0.200  1.1495E+01  9.7689E-02 -1.0199E+01  1.049E+00  6.0452E+00  2.0512E+00
  0.300  1.1491E+01  1.4535E-01 -1.1051E+01  1.050E+00  6.0784E+00  2.0628E+00
  0.400  1.1486E+01  1.9163E-01 -1.1859E+01  1.051E+00  6.1235E+00  2.0789E+00
  0.500  1.1479E+01  2.3617E-01 -1.2627E+01  1.053E+00  6.1791E+00  2.0994E+00
  0.600  1.1470E+01  2.7864E-01 -1.3354E+01  1.054E+00  6.2433E+00  2.1243E+00
  0.700  1.1460E+01  3.1879E-01 -1.4042E+01  1.056E+00  6.3142E+00  2.1534E+00
  0.800  1.1447E+01  3.5640E-01 -1.4692E+01  1.058E+00  6.3895E+00  2.1866E+00
  0.900  1.1433E+01  3.9132E-01 -1.5306E+01  1.060E+00  6.4668E+00  2.2236E+00
  1.000  1.1417E+01  4.2342E-01 -1.5884E+01  1.062E+00  6.5434E+00  2.2645E+00
  1.100  1.1399E+01  4.5260E-01 -1.6429E+01  1.064E+00  6.6170E+00  2.3091E+00
  1.200  1.1379E+01  4.7874E-01 -1.6939E+01  1.066E+00  6.6853E+00  2.3572E+00
  1.300  1.1357E+01  5.0173E-01 -1.7417E+01  1.067E+00  6.7461E+00  2.4088E+00
  1.400  1.1333E+01  5.2144E-01 -1.7862E+01  1.069E+00  6.7979E+00  2.4638E+00
  1.500  1.1307E+01  5.3770E-01 -1.8273E+01  1.071E+00  6.8398E+00  2.5221E+00
  1.600  1.1279E+01  5.5033E-01 -1.8651E+01  1.073E+00  6.8714E+00  2.5836E+00
  1.700  1.1249E+01  5.5914E-01 -1.8996E+01  1.075E+00  6.8933E+00  2.6484E+00
  1.800  1.1218E+01  5.6393E-01 -1.9304E+01  1.076E+00  6.9070E+00  2.7165E+00
  1.900  1.1184E+01  5.6457E-01 -1.9577E+01  1.078E+00  6.9150E+00  2.7878E+00
  2.000  1.1147E+01  5.6100E-01 -1.9811E+01  1.080E+00  6.9211E+00  2.8625E+00
  2.200  1.1069E+01  5.4163E-01 -2.0154E+01  1.083E+00  6.9477E+00  3.0225E+00
  2.400  1.0957E+01  4.9073E-01 -2.0223E+01  1.064E+00  7.0514E+00  3.2089E+00
  2.600  1.0856E+01  5.0971E-01 -2.0397E+01  1.180E+00  5.1045E+00  3.3851E+00
