# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  xsedge+50, used to normalize mu           3.9222E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   11563.072     -0.271   0.000  5.76923E-01  5.70123E-01  5.45359E-03
   11563.081     -0.262   0.050  5.77025E-01  5.72935E-01  3.28315E-03
   11563.110     -0.233   0.100  5.77139E-01  5.75747E-01  1.11852E-03
   11563.157     -0.186   0.150  5.77426E-01  5.83984E-01 -5.28440E-03
   11563.224     -0.119   0.200  5.77833E-01  5.92220E-01 -1.16281E-02
   11563.310     -0.033   0.250  5.78653E-01  6.05638E-01 -2.19139E-02
   11563.415      0.071   0.300  5.79841E-01  6.19056E-01 -3.19973E-02
   11563.538      0.195   0.350  5.81716E-01  6.37093E-01 -4.54726E-02
   11563.681      0.338   0.400  5.84401E-01  6.55130E-01 -5.84506E-02
   11563.843      0.500   0.450  5.87684E-01  6.76612E-01 -7.40594E-02
   11564.024      0.681   0.500  5.92442E-01  6.98095E-01 -8.86741E-02
   11564.224      0.881   0.550  5.97714E-01  7.21176E-01 -1.04535E-01
   11564.443      1.100   0.600  6.05384E-01  7.44257E-01 -1.18631E-01
   11564.681      1.338   0.650  6.13012E-01  7.66734E-01 -1.32575E-01
   11564.939      1.595   0.700  6.24084E-01  7.89210E-01 -1.43791E-01
   11565.215      1.872   0.750  6.34985E-01  8.09147E-01 -1.53182E-01
   11565.510      2.167   0.800  6.50317E-01  8.29083E-01 -1.58828E-01
   11565.824      2.481   0.850  6.65882E-01  8.45328E-01 -1.61056E-01
   11566.158      2.815   0.900  6.86502E-01  8.61573E-01 -1.58747E-01
   11566.510      3.167   0.950  7.08009E-01  8.73848E-01 -1.51885E-01
   11566.882      3.539   1.000  7.34470E-01  8.86122E-01 -1.40301E-01
   11567.272      3.929   1.050  7.62173E-01  8.94782E-01 -1.23864E-01
   11567.682      4.339   1.100  7.93704E-01  9.03441E-01 -1.03498E-01
   11568.110      4.767   1.150  8.25844E-01  9.09147E-01 -7.92728E-02
   11568.558      5.215   1.200  8.59539E-01  9.14852E-01 -5.31155E-02
   11569.025      5.682   1.250  8.92039E-01  9.18336E-01 -2.54599E-02
   11569.511      6.167   1.300  9.22900E-01  9.21821E-01  1.05339E-03
   11570.015      6.672   1.350  9.49712E-01  9.23755E-01  2.55210E-02
   11570.539      7.196   1.400  9.71420E-01  9.25689E-01  4.52912E-02
   11571.082      7.739   1.450  9.86079E-01  9.26629E-01  5.92435E-02
   11571.644      8.301   1.500  9.92954E-01  9.27569E-01  6.55649E-02
   11572.225      8.882   1.550  9.90765E-01  9.27950E-01  6.33102E-02
   11572.825      9.482   1.600  9.80110E-01  9.28332E-01  5.24553E-02
   11573.444     10.101   1.650  9.60686E-01  9.28476E-01  3.27616E-02
   11574.083     10.739   1.700  9.35028E-01  9.28621E-01  6.54285E-03
   11574.740     11.397   1.750  9.03972E-01  9.28758E-01 -2.53876E-02
   11575.416     12.073   1.800  8.71870E-01  9.28896E-01 -5.85812E-02
   11576.111     12.768   1.850  8.40771E-01  9.29182E-01 -9.09995E-02
   11576.826     13.483   1.900  8.15349E-01  9.29469E-01 -1.17689E-01
   11577.559     14.216   1.950  7.98272E-01  9.30094E-01 -1.36088E-01
   11578.312     14.968   2.000  7.92449E-01  9.30720E-01 -1.42896E-01
   11579.083     15.740   2.050  8.00494E-01  9.31264E-01 -1.35134E-01
   11579.874     16.531   2.100  8.21876E-01  9.31807E-01 -1.13592E-01
   11580.683     17.340   2.150  8.53802E-01  9.32351E-01 -8.11584E-02
   11581.512     18.169   2.200  8.92370E-01  9.32895E-01 -4.18680E-02
   11582.360     19.017   2.250  9.40891E-01  9.32359E-01  8.80406E-03
   11583.227     19.883   2.300  9.84289E-01  9.31823E-01  5.40708E-02
   11584.112     20.769   2.350  1.01653E+00  9.31287E-01  8.77438E-02
   11585.017     21.674   2.400  1.03402E+00  9.30751E-01  1.06161E-01
   11585.941     22.598   2.450  1.03426E+00  9.29720E-01  1.07358E-01
   11586.884     23.541   2.500  1.02102E+00  9.28690E-01  9.47085E-02
   11587.846     24.503   2.550  9.98335E-01  9.27659E-01  7.24198E-02
   11588.827     25.484   2.600  9.71149E-01  9.26628E-01  4.55699E-02
   11589.827     26.484   2.650  9.47898E-01  9.27461E-01  2.08513E-02
   11590.847     27.503   2.700  9.24237E-01  9.28293E-01 -4.12460E-03
   11591.885     28.542   2.750  9.02821E-01  9.29125E-01 -2.66643E-02
   11592.942     29.599   2.800  8.85738E-01  9.29958E-01 -4.46804E-02
   11594.018     30.675   2.850  8.74057E-01  9.32001E-01 -5.84265E-02
   11595.114     31.770   2.900  8.68248E-01  9.34044E-01 -6.62064E-02
   11596.228     32.885   2.950  8.68545E-01  9.36087E-01 -6.78224E-02
   11597.362     34.018   3.000  8.74507E-01  9.38130E-01 -6.37556E-02
   11598.514     35.171   3.050  8.84330E-01  9.39091E-01 -5.48114E-02
   11599.686     36.342   3.100  8.97512E-01  9.40051E-01 -4.25299E-02
   11600.876     37.533   3.150  9.12504E-01  9.41012E-01 -2.84687E-02
   11602.086     38.743   3.200  9.27881E-01  9.41972E-01 -1.40555E-02
   11603.315     39.971   3.250  9.42822E-01  9.43361E-01 -5.37557E-04
   11604.562     41.219   3.300  9.55826E-01  9.44749E-01  1.10462E-02
   11605.829     42.486   3.350  9.66601E-01  9.46137E-01  2.04042E-02
   11607.115     43.772   3.400  9.75289E-01  9.47526E-01  2.76795E-02
   11608.420     45.077   3.450  9.80463E-01  9.47513E-01  3.28701E-02
   11609.744     46.401   3.500  9.84413E-01  9.47501E-01  3.68456E-02
   11611.087     47.744   3.550  9.87725E-01  9.47488E-01  4.01885E-02
   11612.449     49.106   3.600  9.90779E-01  9.47476E-01  4.32778E-02
   11613.830     50.487   3.650  9.93271E-01  9.47768E-01  4.55362E-02
   11615.230     51.887   3.700  9.95292E-01  9.48061E-01  4.73281E-02
   11616.650     53.306   3.750  9.96343E-01  9.48353E-01  4.81526E-02
   11618.088     54.745   3.800  9.95765E-01  9.48646E-01  4.73417E-02
   11619.545     56.202   3.850  9.91386E-01  9.47667E-01  4.40146E-02
   11621.022     57.678   3.900  9.84271E-01  9.46688E-01  3.79140E-02
   11622.517     59.174   3.950  9.74284E-01  9.45709E-01  2.88842E-02
   11624.031     60.688   4.000  9.61674E-01  9.44730E-01  1.71624E-02
   11625.565     62.222   4.050  9.47113E-01  9.43844E-01  3.31919E-03
   11627.118     63.774   4.100  9.31868E-01  9.42957E-01 -1.12861E-02
   11628.689     65.346   4.150  9.17163E-01  9.42071E-01 -2.54107E-02
   11630.280     66.937   4.200  9.04220E-01  9.41184E-01 -3.78011E-02
   11631.890     68.546   4.250  8.93896E-01  9.39890E-01 -4.71544E-02
   11633.518     70.175   4.300  8.87190E-01  9.38596E-01 -5.28359E-02
   11635.166     71.823   4.350  8.84384E-01  9.37301E-01 -5.45267E-02
   11636.833     73.490   4.400  8.85330E-01  9.36007E-01 -5.23511E-02
   11638.519     75.176   4.450  8.89513E-01  9.34598E-01 -4.66923E-02
   11640.224     76.881   4.500  8.95982E-01  9.33188E-01 -3.86316E-02
   11641.948     78.605   4.550  9.03761E-01  9.31778E-01 -2.91650E-02
   11643.691     80.348   4.600  9.11897E-01  9.30369E-01 -1.92784E-02
   11645.453     82.110   4.650  9.19692E-01  9.29331E-01 -1.00845E-02
   11647.234     83.891   4.700  9.26416E-01  9.28294E-01 -1.96922E-03
   11649.034     85.691   4.750  9.31781E-01  9.27257E-01  4.75525E-03
   11650.854     87.511   4.800  9.35731E-01  9.26220E-01  1.00221E-02
   11652.692     89.349   4.850  9.37990E-01  9.25055E-01  1.36589E-02
   11654.549     91.206   4.900  9.39295E-01  9.23891E-01  1.63030E-02
   11656.426     93.083   4.950  9.39903E-01  9.22727E-01  1.82184E-02
   11658.321     94.978   5.000  9.40017E-01  9.21563E-01  1.96180E-02
   11660.236     96.893   5.050  9.40319E-01  9.20816E-01  2.07722E-02
   11662.169     98.826   5.100  9.40339E-01  9.20070E-01  2.16300E-02
   11664.122    100.779   5.150  9.40030E-01  9.19324E-01  2.21389E-02
   11666.094    102.750   5.200  9.39298E-01  9.18577E-01  2.21976E-02
   11668.084    104.741   5.250  9.38232E-01  9.17920E-01  2.17961E-02
   11670.094    106.751   5.300  9.36739E-01  9.17263E-01  2.09336E-02
   11672.123    108.780   5.350  9.34778E-01  9.16606E-01  1.95653E-02
   11674.171    110.828   5.400  9.32322E-01  9.15948E-01  1.76591E-02
   11676.238    112.895   5.450  9.29781E-01  9.15352E-01  1.55853E-02
   11678.324    114.980   5.500  9.26782E-01  9.14755E-01  1.30099E-02
   11680.429    117.086   5.550  9.23315E-01  9.14158E-01  9.91943E-03
   11682.553    119.210   5.600  9.19387E-01  9.13561E-01  6.32012E-03
   11684.696    121.353   5.650  9.15092E-01  9.13150E-01  2.10953E-03
   11686.858    123.515   5.700  9.10110E-01  9.12739E-01 -2.85924E-03
   11689.039    125.696   5.750  9.04528E-01  9.12328E-01 -8.49414E-03
   11691.240    127.896   5.800  8.98540E-01  9.11917E-01 -1.45852E-02
   11693.459    130.116   5.850  8.91740E-01  9.11448E-01 -2.15131E-02
   11695.697    132.354   5.900  8.85277E-01  9.10980E-01 -2.80908E-02
   11697.955    134.611   5.950  8.79788E-01  9.10511E-01 -3.36175E-02
   11700.231    136.888   6.000  8.75920E-01  9.10043E-01 -3.73816E-02
   11702.527    139.183   6.050  8.74336E-01  9.09504E-01 -3.85642E-02
   11704.841    141.498   6.100  8.75757E-01  9.08966E-01 -3.64512E-02
   11707.175    143.832   6.150  8.80213E-01  9.08428E-01 -3.09996E-02
   11709.527    146.184   6.200  8.87330E-01  9.07890E-01 -2.26103E-02
   11711.899    148.556   6.250  8.96357E-01  9.07351E-01 -1.21033E-02
   11714.290    150.947   6.300  9.06251E-01  9.06813E-01 -6.18776E-04
   11716.700    153.357   6.350  9.15834E-01  9.06275E-01  1.05442E-02
   11719.129    155.785   6.400  9.23965E-01  9.05736E-01  2.01257E-02
   11721.577    158.233   6.450  9.29726E-01  9.05198E-01  2.71068E-02
   11724.043    160.700   6.500  9.32573E-01  9.04660E-01  3.08780E-02
   11726.529    163.186   6.550  9.32142E-01  9.04020E-01  3.11330E-02
   11729.035    165.691   6.600  9.28985E-01  9.03381E-01  2.83664E-02
   11731.559    168.215   6.650  9.24038E-01  9.02741E-01  2.36124E-02
   11734.102    170.759   6.700  9.18460E-01  9.02102E-01  1.81510E-02
   11736.664    173.321   6.750  9.13394E-01  9.01463E-01  1.32488E-02
   11739.245    175.902   6.800  9.09732E-01  9.00823E-01  9.89967E-03
   11741.846    178.502   6.850  9.07934E-01  9.00184E-01  8.61879E-03
   11744.465    181.122   6.900  9.07927E-01  8.99544E-01  9.32941E-03
   11747.103    183.760   6.950  9.09113E-01  8.98905E-01  1.13703E-02
   11749.761    186.418   7.000  9.10489E-01  8.98265E-01  1.36254E-02
